odule                  Size  Used by
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
videobuf2_v4l2         40960  1 uvcvideo
mac80211             1724416  2 rtw88_pci,rtw88_core
btbcm                  24576  1 btusb
btintel                53248  1 btusb
btmtk                  12288  1 btusb
videodev              360448  2 videobuf2_v4l2,uvcvideo
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
rapl                   20480  0
processor_thermal_device_pci_legacy    12288  0
hp_wmi                 28672  0
intel_rapl_msr         20480  0
snd_timer              49152  3 snd_seq,snd_hrtimer,snd_pcm
processor_thermal_device    20480  1 processor_thermal_device_pci_legacy
sparse_keymap          12288  1 hp_wmi
intel_cstate           20480  0
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
bluetooth            1077248  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
drm_buddy              20480  1 i915
platform_profile       12288  1 hp_wmi
processor_thermal_rfim    32768  1 processor_thermal_device
cfg80211             1323008  2 rtw88_core,mac80211
wmi_bmof               12288  0
snd                   143360  22 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
i2c_i801               36864  0
mei_me                 53248  2
ecdh_generic           16384  1 bluetooth
ttm                   110592  1 i915
mc                     86016  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
processor_thermal_mbox    16384  2 processor_thermal_rfim,processor_thermal_device
i2c_smbus              16384  1 i2c_i801
soundcore              16384  2 snd_ctl_led,snd
ecc                    45056  1 ecdh_generic
libarc4                12288  1 mac80211
processor_thermal_rapl    16384  1 processor_thermal_device
drm_display_helper    241664  1 i915
intel_rapl_common      40960  2 intel_rapl_msr,processor_thermal_rapl
mei                   167936  5 mei_hdcp,mei_pxp,mei_me
intel_pch_thermal      20480  0
cec                    94208  2 drm_display_helper,i915
intel_xhci_usb_role_switch    12288  0
intel_soc_dts_iosf     20480  1 processor_thermal_device_pci_legacy
rc_core                77824  1 cec
int3403_thermal        16384  0
int340x_thermal_zone    16384  2 int3403_thermal,processor_thermal_device
drm_kms_helper        270336  3 drm_display_helper,nvidia_drm,i915
wireless_hotkey        12288  0
i2c_algo_bit           16384  1 i915
hp_accel               28672  0
acpi_pad              184320  0
lis3lv02d              32768  1 hp_accel
int3400_thermal        24576  0
acpi_thermal_rel       20480  1 int3400_thermal
hid_multitouch         36864  0
input_leds             12288  0
joydev                 32768  0
mac_hid                12288  0
serio_raw              20480  0
msr                    12288  0
ppdev                  24576  0
drm                   761856  27 drm_kms_helper,drm_display_helper,nvidia,drm_buddy,nvidia_drm,i915,ttm
parport                77824  3 parport_pc,lp,ppdev
efi_pstore             12288  0
dmi_sysfs              20480  0
ip_tables              36864  0
x_tables               69632  5 xt_conntrack,nft_compat,xt_addrtype,ip_tables,xt_MASQUERADE
autofs4                57344  2
hid_generic            12288  0
usbhid                 77824  0
hid                   180224  3 usbhid,hid_multitouch,hid_generic
nvme                   61440  2
nvme_core             208896  3 nvme
r8169                 114688  0
psmouse               212992  0
crc32_pclmul           12288  0
xhci_pci               24576  0
video                  73728  2 i915,nvidia_modeset
nvme_common            28672  1 nvme_core
realtek                36864  1
ahci                   49152  0
libahci                57344  1 ahci
xhci_pci_renesas       20480  1 xhci_pci
wmi                    40960  3 hp_wmi,video,wmi_bmof
