mauricio@mauricio:~$ lsmod
Module                  Size  Used by
snd_seq_device         16384  3 snd_seq,snd_seq_midi,snd_rawmidi
videobuf2_common       86016  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
drm_buddy              20480  2 amdgpu,i915
drm_suballoc_helper    16384  2 amdgpu,radeon
rtsx_usb_ms            24576  0
drm_ttm_helper         12288  2 amdgpu,radeon
snd_timer              49152  2 snd_seq,snd_pcm
sparse_keymap          12288  1 dell_wmi
wmi_bmof               12288  0
iwlwifi               598016  1 iwlmvm
dell_wmi_descriptor    20480  2 dell_wmi,dell_smbios
mc                     86016  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
ttm                   110592  4 amdgpu,radeon,drm_ttm_helper,i915
memstick               28672  1 rtsx_usb_ms
bluetooth            1081344  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
serio_raw              20480  0
drm_display_helper    241664  3 amdgpu,radeon,i915
ecdh_generic           16384  1 bluetooth
snd                   143360  21 snd_ctl_led,snd_hda_codec_generic,snd_seq,snd_seq_device,snd_hda_codec_hdmi,snd_hwdep,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek,snd_sof,snd_timer,snd_compress,snd_soc_core,snd_pcm,snd_rawmidi
ecc                    45056  1 ecdh_generic
at24                   24576  0
cfg80211             1323008  3 iwlmvm,iwlwifi,mac80211
cec                    94208  2 drm_display_helper,i915
soundcore              16384  2 snd_ctl_led,snd
hid_multitouch         36864  0
mei_me                 53248  2
rc_core                77824  1 cec
drm_kms_helper        274432  4 drm_display_helper,amdgpu,radeon,i915
i2c_algo_bit           16384  3 amdgpu,radeon,i915
intel_xhci_usb_role_switch    12288  0
intel_pch_thermal      20480  0
mei                   167936  5 mei_hdcp,mei_pxp,mei_me
mac_hid                12288  0
acpi_pad              184320  0
dell_rbtn              20480  0
sch_fq_codel           24576  2
msr                    12288  0
parport_pc             53248  0
ppdev                  24576  0
lp                     28672  0
parport                77824  3 parport_pc,lp,ppdev
drm                   765952  15 gpu_sched,drm_kms_helper,drm_suballoc_helper,drm_display_helper,drm_buddy,amdgpu,radeon,drm_ttm_helper,i915,ttm,amdxcp
efi_pstore             12288  0
ip_tables              36864  0
x_tables               69632  1 ip_tables
autofs4                57344  2
hid_logitech_hidpp     65536  0
hid_logitech_dj        36864  0
rtsx_usb_sdmmc         36864  0
usbhid                 77824  2 hid_logitech_dj,hid_logitech_hidpp
rtsx_usb               32768  2 rtsx_usb_sdmmc,rtsx_usb_ms
hid_generic            12288  0
i2c_hid_acpi           12288  0
r8169                 114688  0
i2c_hid                40960  1 i2c_hid_acpi
realtek                36864  1
crc32_pclmul           12288  0
ahci                   49152  2
i2c_i801               36864  0
intel_lpss_pci         24576  0
intel_lpss             16384  1 intel_lpss_pci
xhci_pci               24576  0
hid                   180224  6 i2c_hid,usbhid,hid_multitouch,hid_generic,hid_logitech_dj,hid_logitech_hidpp
i2c_smbus              16384  1 i2c_i801
libahci                57344  1 ahci
idma64                 20480  0
xhci_pci_renesas       20480  1 xhci_pci
psmouse               212992  0
video                  73728  5 dell_wmi,amdgpu,radeon,dell_laptop,i915
wmi                    40960  5 video,dell_wmi,wmi_bmof,dell_smbios,dell_wmi_descriptor
pinctrl_sunrisepoint    28672  0
mauricio@mauricio:~$ 

